1,1148661936,(주)투와이드컴퍼니,김윤민,,,13 12,2018/03/28 11:24:20, ,
2,2298131480,(주)에스아이미디어그룹,정종인,,,02 09,2018/03/27 23:31:52, ,
3,1208818670,주식회사 한영씨앤텍,유광범,,,07 04,2018/03/28 08:44:16, ,
4,6058194826,(주)나노디자인그룹,손병석,,,01 02,2018/03/28 11:31:26, ,
5,1078735795,(주)더존크리에이티브,임빈만,,,04 03,2018/03/28 14:26:36, ,
6,3118801019,주식회사 디엠스튜디오,권오준,,,02 09,2018/03/28 11:58:31, ,
7,1198662624,주식회사 유진코어,김수지,,,08 05,2018/03/27 14:12:34, ,
8,7688100425,주식회사 오브라더스,김유동,,,05 14,2018/03/27 13:38:28, ,
,2118763964,(주)믹스미디어,정연승,,,,,제안서미제출,
,6078150407,(주)유성기획,김창완,,,,,서류미제출,
